Game,Platforms
minecraft,"pc,nintendo-switch,3ds,playstation-3,playstation-4,playstation-vita,wii-u,xbox-360,xbox-one"
stardew-valley,"pc,playstation-4,xbox-one,nintendo-switch,playstation-vita,ios-iphoneipad"
